time_hour,event_id,count
0,100,1
0,1000002,7
0,300,2
0,800102,35
0,800103,27
0,800104,7
0,800105,282
0,800106,75
0,800107,27
0,900,2
1,100,2
1,1000002,9
1,300,3
1,800101,1
1,800102,48
1,800103,16
1,800104,4
1,800105,278
1,800106,99
1,800107,43
2,100,4
2,1000002,4
2,300,1
2,800101,4
2,800102,60
2,800103,27
2,800104,8
2,800105,401
2,800106,143
2,800107,54
3,100,3
3,1000002,3
3,800101,4
3,800102,74
3,800103,33
3,800104,12
3,800105,600
3,800106,181
3,800107,106
4,100,22
4,1000002,3
4,300,3
4,800101,3
4,800102,58
4,800103,34
4,800104,30
4,800105,1731
4,800106,170
4,800107,117
4,900,1
5,100,12
5,1000002,8
5,300,24
5,400,2
5,800101,4
5,800102,76
5,800103,45
5,800104,128
5,800105,4588
5,800106,185
5,800107,228
5,900,1
6,100,21
6,1000002,21
6,300,30
6,400,5
6,800101,4
6,800102,162
6,800103,103
6,800104,344
6,800105,7894
6,800106,337
6,800107,394
6,900,30
7,100,26
7,1000002,39
7,300,35
7,400,34
7,800101,11
7,800102,279
7,800103,191
7,800104,578
7,800105,10062
7,800106,484
7,800107,335
7,900,29
8,100,43
8,1000002,48
8,20201,5
8,300,34
8,400,25
8,800101,10
8,800102,348
8,800103,273
8,800104,580
8,800105,11755
8,800106,685
8,800107,356
8,900,47
9,100,48
9,1000002,55
9,20201,6
9,300,23
9,400,19
9,800101,28
9,800102,521
9,800103,376
9,800104,690
9,800105,12824
9,800106,922
9,800107,413
9,900,60
10,100,62
10,1000002,64
10,20201,3
10,300,34
10,400,37
10,800101,16
10,800102,580
10,800103,434
10,800104,732
10,800105,13048
10,800106,892
10,800107,425
10,900,46
11,100,40
11,1000002,68
11,20201,10
11,300,30
11,400,19
11,800101,16
11,800102,641
11,800103,487
11,800104,613
11,800105,12576
11,800106,1065
11,800107,431
11,900,52
12,100,36
12,1000002,36
12,20201,4
12,300,25
12,400,13
12,800101,22
12,800102,591
12,800103,333
12,800104,509
12,800105,10154
12,800106,1150
12,800107,416
12,900,66
13,100,33
13,1000002,68
13,20201,8
13,300,32
13,400,56
13,800101,21
13,800102,598
13,800103,508
13,800104,491
13,800105,10750
13,800106,1263
13,800107,392
13,900,87
14,100,28
14,1000002,58
14,20201,3
14,300,33
14,400,19
14,800101,13
14,800102,691
14,800103,500
14,800104,593
14,800105,10490
14,800106,1110
14,800107,354
14,900,100
15,100,33
15,1000002,68
15,20201,11
15,300,35
15,400,11
15,800101,14
15,800102,695
15,800103,626
15,800104,493
15,800105,9339
15,800106,955
15,800107,378
15,900,62
16,100,19
16,1000002,51
16,20201,7
16,300,39
16,400,7
16,800101,18
16,800102,607
16,800103,611
16,800104,469
16,800105,7910
16,800106,736
16,800107,398
16,900,27
17,100,18
17,1000002,30
17,20201,11
17,300,31
17,400,13
17,800101,7
17,800102,427
17,800103,325
17,800104,336
17,800105,4777
17,800106,516
17,800107,349
17,900,25
18,100,10
18,1000002,20
18,300,18
18,400,12
18,800101,1
18,800102,259
18,800103,166
18,800104,187
18,800105,2179
18,800106,426
18,800107,207
18,900,51
19,100,13
19,1000002,16
19,300,9
19,400,7
19,800101,2
19,800102,135
19,800103,75
19,800104,66
19,800105,671
19,800106,249
19,800107,127
19,900,1
20,100,2
20,1000002,4
20,300,14
20,400,3
20,800102,102
20,800103,48
20,800104,44
20,800105,405
20,800106,187
20,800107,109
20,900,3
21,100,7
21,1000002,9
21,300,9
21,800102,54
21,800103,27
21,800104,39
21,800105,384
21,800106,146
21,800107,64
21,900,3
22,100,4
22,1000002,3
22,300,4
22,800102,47
22,800103,25
22,800104,15
22,800105,351
22,800106,79
22,800107,43
22,900,1
23,100,5
23,1000002,3
23,300,8
23,400,1
23,800101,1
23,800102,38
23,800103,29
23,800104,12
23,800105,314
23,800106,84
23,800107,45
