time_hour,event_id,count
0,100,1
1,100,2
2,100,4
3,100,3
4,100,22
5,100,12
6,100,21
7,100,26
8,100,43
9,100,48
10,100,62
11,100,40
12,100,36
13,100,33
14,100,28
15,100,33
16,100,19
17,100,18
18,100,10
19,100,13
20,100,2
21,100,7
22,100,4
23,100,5
0,1000002,7
1,1000002,9
2,1000002,4
3,1000002,3
4,1000002,3
5,1000002,8
6,1000002,21
7,1000002,39
8,1000002,48
9,1000002,55
10,1000002,64
11,1000002,68
12,1000002,36
13,1000002,68
14,1000002,58
15,1000002,68
16,1000002,51
17,1000002,30
18,1000002,20
19,1000002,16
20,1000002,4
21,1000002,9
22,1000002,3
23,1000002,3
8,20201,5
9,20201,6
10,20201,3
11,20201,10
12,20201,4
13,20201,8
14,20201,3
15,20201,11
16,20201,7
17,20201,11
0,300,2
1,300,3
2,300,1
4,300,3
5,300,24
6,300,30
7,300,35
8,300,34
9,300,23
10,300,34
11,300,30
12,300,25
13,300,32
14,300,33
15,300,35
16,300,39
17,300,31
18,300,18
19,300,9
20,300,14
21,300,9
22,300,4
23,300,8
5,400,2
6,400,5
7,400,34
8,400,25
9,400,19
10,400,37
11,400,19
12,400,13
13,400,56
14,400,19
15,400,11
16,400,7
17,400,13
18,400,12
19,400,7
20,400,3
23,400,1
1,800101,1
2,800101,4
3,800101,4
4,800101,3
5,800101,4
6,800101,4
7,800101,11
8,800101,10
9,800101,28
10,800101,16
11,800101,16
12,800101,22
13,800101,21
14,800101,13
15,800101,14
16,800101,18
17,800101,7
18,800101,1
19,800101,2
23,800101,1
0,800102,35
1,800102,48
2,800102,60
3,800102,74
4,800102,58
5,800102,76
6,800102,162
7,800102,279
8,800102,348
9,800102,521
10,800102,580
11,800102,641
12,800102,591
13,800102,598
14,800102,691
15,800102,695
16,800102,607
17,800102,427
18,800102,259
19,800102,135
20,800102,102
21,800102,54
22,800102,47
23,800102,38
0,800103,27
1,800103,16
2,800103,27
3,800103,33
4,800103,34
5,800103,45
6,800103,103
7,800103,191
8,800103,273
9,800103,376
10,800103,434
11,800103,487
12,800103,333
13,800103,508
14,800103,500
15,800103,626
16,800103,611
17,800103,325
18,800103,166
19,800103,75
20,800103,48
21,800103,27
22,800103,25
23,800103,29
0,800104,7
1,800104,4
2,800104,8
3,800104,12
4,800104,30
5,800104,128
6,800104,344
7,800104,578
8,800104,580
9,800104,690
10,800104,732
11,800104,613
12,800104,509
13,800104,491
14,800104,593
15,800104,493
16,800104,469
17,800104,336
18,800104,187
19,800104,66
20,800104,44
21,800104,39
22,800104,15
23,800104,12
0,800105,282
1,800105,278
2,800105,401
3,800105,600
4,800105,1731
5,800105,4588
6,800105,7894
7,800105,10062
8,800105,11755
9,800105,12824
10,800105,13048
11,800105,12576
12,800105,10154
13,800105,10750
14,800105,10490
15,800105,9339
16,800105,7910
17,800105,4777
18,800105,2179
19,800105,671
20,800105,405
21,800105,384
22,800105,351
23,800105,314
0,800106,75
1,800106,99
2,800106,143
3,800106,181
4,800106,170
5,800106,185
6,800106,337
7,800106,484
8,800106,685
9,800106,922
10,800106,892
11,800106,1065
12,800106,1150
13,800106,1263
14,800106,1110
15,800106,955
16,800106,736
17,800106,516
18,800106,426
19,800106,249
20,800106,187
21,800106,146
22,800106,79
23,800106,84
0,800107,27
1,800107,43
2,800107,54
3,800107,106
4,800107,117
5,800107,228
6,800107,394
7,800107,335
8,800107,356
9,800107,413
10,800107,425
11,800107,431
12,800107,416
13,800107,392
14,800107,354
15,800107,378
16,800107,398
17,800107,349
18,800107,207
19,800107,127
20,800107,109
21,800107,64
22,800107,43
23,800107,45
0,900,2
4,900,1
5,900,1
6,900,30
7,900,29
8,900,47
9,900,60
10,900,46
11,900,52
12,900,66
13,900,87
14,900,100
15,900,62
16,900,27
17,900,25
18,900,51
19,900,1
20,900,3
21,900,3
22,900,1
